about;A1;о;около
above;A1;выше;над
across;A1;через;поперек
action;A1;действие;поступок
activity;A1;деятельность;активность
actor;A1;актёр;деятель
actress;A1;актриса;
add;A1;добавлять;прибавлять
address;A1;адрес;обращаться
adult;A1;взрослый;совершеннолетний
advice;A1;совет;консультация
afraid;A1;испуганный;бояться
after;A1;после;потом
afternoon;A1;дневное время;время после полудня
again;A1;опять;снова
age;A1;возраст;век
ago;A1;тому назад;давно
agree;A1;соглашаться;соответствовать
air;A1;воздух;атмосфера
airport;A1;аэропорт;аэропортовый
all;A1;все;весь
also;A1;тоже;к тому же
always;A1;всегда;навсегда
amazing;A1;удивительный;поразительный
and;A1;и;
angry;A1;злой;сердитый
animal;A1;животное;зверь
another;A1;ещё один, другой;новый
answer;A1;ответ;отвечать
any;A1;любой;всякий
any;A1;любой;всякий
anybody;A1;кто-нибудь;любой
anyone;A1;кто-нибудь;кто-либо
anything;A1;что-нибудь;что угодно
anyway;A1;как бы там ни было;в любом случае
anywhere;A1;везде;где угодно
apartment;A1;квартира;
app;A1;приложение (программа);
appear;A1;появляться;обнаруживаться
appearance;A1;наружность;внешний вид
apple;A1;яблоко;яблочный
apply;A1;применять;использовать
April;A1;апрель;апрельский
architect;A1;архитектор;создатель
architecture;A1;архитектура;построение
area;A1;площадь;зона, область
argue;A1;спорить;доказывать
argument;A1;аргумент;спор
arm;A1;рука (от кисти до плеча);
army;A1;армия;множество
around;A1;вокруг;около
arrange;A1;договариваться;приводить в порядок
arrangement;A1;договорённость;соглашение
arrive;A1;прибывать;приходить
art;A1;искусство;мастерство
article;A1;статья;предмет
article;A1;статья;предмет
artist;A1;художник;живописец
as;A1;как;в качестве
as;A1;как;в качестве
ask;A1;спрашивать;попросить
asleep;A1;спящий;вялый
assistant;A1;помощник;ассистент
at;A1;в;на
athlete;A1;спортсмен;легкоатлет
attack;A1;атаковать;нападать
attend;A1;посещать;присутствовать
attention;A1;внимание;внимательность
attractive;A1;привлекательный;притягательный
audience;A1;публика;зрители
August;A1;август;уважаемый
aunt;A1;тётя;тетя
author;A1;писатель;автор
autumn;A1;осень;
available;A1;доступный;пригодный
average;A1;средний;обычный
avoid;A1;избегать;уклоняться
award;A1;награда;премия
away;A1;прочь;вдаль
awful;A1;страшный, ужасный;ужасно
baby;A1;ребенок;разг. малышка
back;A1;спина;назад
back;A1;спина;назад
background;A1;фон;задний план
bad;A1;плохие;
bag;A1;сумка;мешок
ball;A1;мяч;шар
banana;A1;банан;
band;A1;группа;полоса, лента
bank;A1;банк;
bath;A1;ванна;купаться
bathroom;A1;ванная комната;туалет
be;A1;быть;находиться
beach;A1;пляж;морской берег
beautiful;A1;красивый;прекрасный
because;A1;потому что;из-за
become;A1;становиться;делаться
bed;A1;кровать;постель
bedroom;A1;спальня;спальная комната
beer;A1;пиво;
before;A1;перед;прежде
begin;A1;начинать;
beginning;A1;начало;начиная
behind;A1;позади;сзади
believe;A1;верить;доверять
below;A1;ниже;под
best;A1;лучший;самый лучший
better;A1;лучше;
between;A1;между;среди
bicycle;A1;велосипед;
big;A1;большой;крупный
bike;A1;велосипед;байк
bill;A1;счёт;законопроект
bird;A1;птица;ловить птиц
birthday;A1;день рождения;рождение
black;A1;чёрный;
blog;A1;блог;
blonde;A1;блондинка;блондин
blue;A1;голубой;грустный
boat;A1;лодка;судно
body;A1;тело;кузов
book;A1;книга;бронировать
boot;A1;багажник;ботинок
bored;A1;скучающий;скучный
boring;A1;скучный;надоедливый
born;A1;рожденный;родился
both;A1;оба;также
bottle;A1;бутылка;бутыль
box;A1;коробка;ящик
boy;A1;мальчик;парень
boyfriend;A1;возлюбленный;парень
bread;A1;хлеб;пища
break;A1;ломать;перерыв, перемена
breakfast;A1;завтрак;завтракать
brilliant;A1;блестящий;замечательный
bring;A1;приносить;доставлять
broken;A1;сломанный;разбитый
brother;A1;брат;
brown;A1;коричневый;
brush;A1;щётка;кисть
build;A1;строить;телосложение
building;A1;здание;постройка
burn;A1;обжечься;гореть
bus;A1;автобус;шина
business;A1;дело;занятие
businessman;A1;бизнесмен;коммерсант
busy;A1;занятой;занятый
but;A1;но;кроме
butter;A1;сливочное масло;масло
button;A1;пуговица;кнопка
buy;A1;покупать;покупка
by;A1;рядом;у
bye;A1;пока;до свидания
cafe;A1;кафе;кофейня
cake;A1;торт;пирог
call;A1;звонок;звонить
camera;A1;фотокамера;фотоаппарат
camp;A1;лагерь;
camping;A1;кемпинг;лагерь для автотуристов
can;A1;мочь;уметь
can;A1;мочь;уметь
cannot;A1;не могу;не можешь
capital;A1;столица;капитал
car;A1;автомобиль;машина
card;A1;открытка;карта
care;A1;заботиться;беспокоиться
career;A1;карьера;профессия
careful;A1;осторожный;заботливый
carefully;A1;осторожно;внимательно
carpet;A1;покрытие;ковер
carrot;A1;морковь;приманка
carry;A1;нести, перевозить;носить
cartoon;A1;карикатура, комикс;карикатура
case;A1;случай;обстоятельство
cash;A1;наличные деньги;
castle;A1;замок;крепость
cat;A1;кошка;кот
catch;A1;ловить;поймать
cause;A1;причина;вызывать
CD;A1;компакт диск;
celebrate;A1;праздновать;отмечать приятное событие
celebrity;A1;знаменитость;известность
cent;A1;цент;сотня
centre;A1;центр;сосредоточиваться
century;A1;столетие;век
certain;A1;точный;определённый
certainly;A1;конечно;непременно
chair;A1;стул;кресло
chance;A1;шанс;возможность
change;A1;менять;изменять
character;A1;персонаж;образ
charity;A1;благотворительность;милостыня
chart;A1;диаграмма;график
